Designator,Mid X,Mid Y,Rotation,Layer
C1,136.272618,-66.902651,90.0,bottom
C2,115.622618,-75.438,90.0,bottom
C3,134.572618,-136.5,180.0,top
C4,111.285118,-136.5,180.0,top
C5,96.072618,-136.5,180.0,top
C6,119.322618,-136.5,180.0,top
C7,143.181618,-145.288,90.0,bottom
C8,87.993967,-133.223,90.0,bottom
D1,125.043118,-66.3985,90.0,top
D2,95.322618,-76.5,0.0,bottom
D3,104.322618,-76.5,0.0,bottom
D4,95.322618,-67.5,0.0,bottom
D5,104.322618,-67.5,0.0,bottom
J1,103.822618,-147.5,0.0,bottom
J10,140.572618,-121.305,180.0,bottom
J11,140.572618,-131.555,180.0,bottom
J2,148.272618,-66.902651,180.0,bottom
J3,127.072618,-147.5,0.0,bottom
J4,98.604618,-119.5,180.0,bottom
J5,102.414618,-119.5,180.0,bottom
J6,124.258618,-119.475,180.0,bottom
J7,120.572618,-119.475,180.0,bottom
J8,145.072618,-121.305,180.0,bottom
J9,145.072618,-131.555,180.0,bottom
L1,124.852618,-76.269651,270.0,top
R1,95.322618,-81.0,0.0,top
R10,130.481618,-81.772,270.0,top
R2,123.242618,-130.445,270.0,top
R3,120.702618,-130.429,270.0,top
R4,99.747618,-130.445,270.0,top
R5,97.334618,-130.445,270.0,top
R6,104.322618,-81.0,0.0,top
R7,95.322618,-72.0,0.0,top
R8,104.322618,-72.0,0.0,top
R9,132.767618,-81.788,270.0,top
U1,103.822618,-132.7425,90.0,bottom
U2,127.072618,-132.7425,90.0,bottom
U4,144.697618,-78.902651,0.0,top
U5,119.322618,-99.5,270.0,bottom
