Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C20, C3, C8",0805,5,1uF,
"C10, C13, C15, C17, C2, C21, C22, C7",0805,8,100nF,
"C11, C12, C6",CP_EIA-3216-18_Kemet-A,3,10uF,
C14,CP_EIA-3216-18_Kemet-A,1,47uF,
C16,0805,1,C,
"C19, C23, C24, C5, C9",0805,5,22nF,
C4,0805,1,2.2uF,
"D1, D3",0805,2,LED,
D2,D_SMA,1,D,
D4,PinHeader_2x01_P2.54mm_Vertical,1,D_Photo,
F1,1206,1,Fuse,
J1,RJ45_Amphenol_RJHSE5380,1,RJ45_Shielded,
J2,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack_Switch,
"L1, L2, L3",1206,3,10uH,
LD1,PinHeader_1x02_P2.54mm_Vertical,1,D_Laser_1C2A,
R1,0805,1,12.4K,
"R10, R6",0805,2,10R,
"R11, R23, R24, R26, R27, R3, R4, R7, R8, R9",0805,10,22K,
"R12, R18",0805,2,4k7,
"R13, R14",0805,2,2k2,
R15,0805,1,1k,
"R16, R21, R22",0805,3,50R,
R17,0805,1,1k2,
R19,0805,1,47k,
R2,0805,1,500R,
R20,0805,1,220R,
R25,0805,1,470k,
R5,0805,1,10k,
RV1,Potentiometer_Bourns_TC33X_Vertical,1,R_Potentiometer,
U1,SOT-23-5_HandSoldering,1,MAX4390,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,OPA695,
U3,MSOP-8_3x3mm_P0.65mm,1,LT1713,
U4,SOP65P490X110-8N,1,MAX4392,
U5,TDFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.2mm,1,MIC2605,
U6,TO-252-2,1,L7805,
