Designator,Mid X,Mid Y,Rotation,Layer
C1,84.763375,-95.813375,0.0,top
C10,108.26647,-100.09853,90.0,top
C11,69.845,-82.875,270.0,top
C12,84.845,-82.775,270.0,top
C13,87.595,-83.025,90.0,top
C14,83.285,-111.415,270.0,top
C15,87.5125,-123.4375,180.0,top
C16,90.0125,-112.725,0.0,top
C17,93.2625,-114.1875,270.0,top
C18,100.3,-121.9375,180.0,top
C19,96.3,-119.4375,180.0,top
C2,84.838375,-98.063375,0.0,top
C20,104.5125,-114.15,270.0,top
C21,94.7625,-106.15,90.0,top
C22,91.7625,-99.9375,0.0,top
C23,99.7625,-91.4,270.0,top
C24,97.2625,-91.4,270.0,top
C3,80.050875,-101.063375,180.0,top
C4,115.89147,-111.31103,180.0,top
C5,120.51647,-96.34853,180.0,top
C6,108.14147,-107.40353,270.0,top
C7,110.64147,-107.09853,270.0,top
C8,113.76647,-101.38603,0.0,top
C9,107.26647,-96.13603,0.0,top
D1,75.550875,-103.563375,0.0,top
D2,73.345,-81.875,90.0,top
D3,90.095,-83.05,270.0,top
D4,83.5125,-117.2125,270.0,top
F1,77.4,-88.9,90.0,top
J1,104.603375,-73.831625,0.0,top
J2,66.85,-92.55,270.0,top
L1,79.550875,-95.313375,180.0,top
L2,117.01647,-95.34853,90.0,top
L3,110.51647,-95.34853,270.0,top
LD1,113.76647,-95.34853,180.0,top
R1,84.800875,-100.313375,0.0,top
R10,110.51647,-100.09853,90.0,top
R11,90.095,-78.7775,90.0,top
R12,85.7625,-111.6875,270.0,top
R13,91.7625,-123.4375,180.0,top
R14,87.55,-125.725,180.0,top
R15,90.0125,-115.1875,180.0,top
R16,96.3,-121.9,0.0,top
R17,102.2625,-118.4375,90.0,top
R18,102.2625,-114.1875,90.0,top
R19,99.7625,-118.4375,90.0,top
R2,84.800875,-102.563375,180.0,top
R20,97.7625,-111.4375,180.0,top
R21,99.8,-95.4,90.0,top
R22,97.2625,-95.4375,90.0,top
R23,98.503375,-84.416625,0.0,top
R24,98.503375,-86.666625,0.0,top
R25,100.7625,-105.9375,90.0,top
R26,112.253375,-86.666625,0.0,top
R27,112.253375,-84.416625,0.0,top
R3,75.550875,-101.063375,180.0,top
R4,108.01647,-114.59853,270.0,top
R5,117.01647,-100.09853,90.0,top
R6,119.26647,-100.09853,270.0,top
R7,120.51647,-94.09853,180.0,top
R8,113.76647,-90.84853,180.0,top
R9,107.26647,-93.84853,0.0,top
RV1,111.41647,-114.04853,90.0,top
U1,113.76647,-107.59853,270.0,top
U2,89.6025,-119.2775,270.0,top
U3,97.7375,-106.075,0.0,top
U4,98.7625,-100.1875,180.0,top
U5,80.063375,-98.313375,180.0,top
U6,79.62,-79.11,90.0,top
